unit: MeV
spectrum:
0.000000414 0.01440
0.11 0.03340
0.33 0.03130
0.54 0.02810
0.75 0.02500
0.97 0.02140
1.18 0.01980
1.4  0.01750
1.61 0.01920
1.82 0.02230
2.04 0.02150
2.25 0.02250
2.47 0.02280
2.68 0.02950
2.9	 0.03560
3.11 0.03690
3.32 0.03460
3.54 0.03070
3.75 0.03000
3.97 0.02690
4.18 0.02860
4.39 0.03180
4.61 0.03070
4.82 0.03330
5.04 0.03040
5.25 0.02740
5.47 0.02330
5.68 0.02060
5.89 0.01820
6.11 0.01770
6.32 0.02040
6.54 0.01830
6.75 0.01630
6.96 0.01680
7.18 0.01680
7.39 0.01880
7.61 0.01840
7.82 0.01690
8.03 0.01440
8.25 0.00963
8.46 0.00652
8.68 0.00426
8.89 0.00367
9.11 0.00381
9.32 0.00506
9.53 0.00625
9.75 0.00552
9.96 0.00468
10.18 0.00370
10.39 0.00278
10.6 0.00151
10.82 0.00036
11.03 0.00000
11.09 0.00000
