unit: MeV
spectrum:
0.05 1.337e-16
0.15 1.546e-16
0.25 1.884e-16
0.35 2.091e-16
0.45 6.991e-15
0.55 1.248e-14
0.65 7.333e-15
0.75 2.454e-16
0.85 2.505e-16
0.95 2.572e-16
1.05 2.691e-16
1.15 2.904e-16
1.25 3.266e-16
1.35 3.835e-16
1.45 4.681e-16
1.55 5.862e-16
1.65 6.546e-16
1.75 6.144e-16
1.85 5.603e-16
1.95 4.912e-16
2.05 4.037e-16
2.15 2.94e-16
2.25 1.661e-16
2.35 1.094e-16
2.45 1.05e-16
2.55 1.123e-16
2.65 1.556e-16
2.75 2.868e-16
2.85 5.637e-16
2.95 1.051e-15
3.05 1.796e-15
3.15 2.82e-15
3.25 4.139e-15
3.35 5.758e-15
3.45 7.67e-15
3.55 9.848e-15
3.65 1.226e-14
3.75 1.472e-14
3.85 1.646e-14
3.95 1.713e-14
4.05 1.702e-14
4.15 1.677e-14
4.25 1.645e-14
4.35 1.605e-14
4.45 1.556e-14
4.55 1.5e-14
4.65 1.434e-14
4.75 1.359e-14
4.85 1.275e-14
4.95 1.182e-14
5.05 1.079e-14
5.15 9.677e-15
5.25 8.475e-15
5.35 7.193e-15
5.45 5.836e-15
5.55 4.409e-15
5.65 2.976e-15
5.75 1.765e-15
5.85 8.526e-16
5.95 2.629e-16
6.05 2.047e-17
6.15 2.599e-18
6.25 2.325e-18
6.35 2.078e-18
6.45 1.857e-18
6.55 1.659e-18
6.65 1.481e-18
6.75 1.322e-18
6.85 1.179e-18
6.95 1.052e-18
7.05 9.372e-19
7.15 8.352e-19
7.25 7.439e-19
7.35 6.625e-19
7.45 5.895e-19
7.55 5.247e-19
7.65 4.665e-19
7.75 4.15e-19
7.85 3.687e-19
7.95 3.278e-19
8.05 2.911e-19
8.15 2.586e-19
8.25 2.295e-19
8.35 2.037e-19
8.45 1.808e-19
8.55 1.603e-19
8.65 1.422e-19
8.75 1.261e-19
8.85 1.115e-19
8.95 9.895e-20
9.05 8.767e-20
9.15 7.76e-20
9.25 6.881e-20
9.35 6.072e-20
9.45 5.391e-20
9.55 4.749e-20
9.65 4.223e-20
9.75 3.725e-20
9.85 3.282e-20
9.95 2.907e-20
