unit: MeV
spectrum:
3.5297e-06 1
3.5197e-06 0
3.5098e-06 0
3.4999e-06 1
3.4900e-06 3
3.4802e-06 0
3.4705e-06 2
3.4608e-06 5
3.4511e-06 7
3.4416e-06 6
3.4321e-06 5
3.4226e-06 9
3.4132e-06 12
3.4038e-06 20
3.3945e-06 20
3.3853e-06 27
3.3761e-06 34
3.3669e-06 35
3.3578e-06 47
3.3487e-06 49
3.3397e-06 57
3.3307e-06 93
3.3218e-06 95
3.3130e-06 110
3.3041e-06 148
3.2954e-06 187
3.2866e-06 225
3.2779e-06 274
3.2693e-06 341
3.2607e-06 426
3.2522e-06 480
3.2437e-06 572
3.2352e-06 787
3.2268e-06 978
3.2184e-06 1154
3.2101e-06 1577
3.2018e-06 1974
3.1936e-06 2480
3.1854e-06 3264
3.1772e-06 4032
3.1691e-06 5037
3.1610e-06 6298
3.1530e-06 7338
3.1450e-06 8727
3.1370e-06 10333
3.1291e-06 11726
3.1213e-06 12742
3.1134e-06 13813
3.1056e-06 14412
3.0979e-06 15123
3.0902e-06 15361
3.0825e-06 15369
3.0748e-06 15286
3.0672e-06 15429
3.0597e-06 15330
3.0522e-06 15250
3.0447e-06 14779
3.0372e-06 14641
3.0298e-06 14501
3.0224e-06 14672
3.0151e-06 14940
3.0078e-06 14787
3.0005e-06 14765
2.9932e-06 14980
2.9860e-06 15163
2.9789e-06 15128
2.9717e-06 15265
2.9646e-06 15024
2.9576e-06 14621
2.9505e-06 14978
2.9435e-06 14477
2.9366e-06 13975
2.9296e-06 13740
2.9227e-06 13377
2.9159e-06 12793
2.9090e-06 12193
2.9022e-06 11875
2.8954e-06 11561
2.8887e-06 10776
2.8820e-06 10540
2.8753e-06 10028
2.8687e-06 9719
2.8620e-06 9385
2.8555e-06 8983
2.8489e-06 8803
2.8423e-06 8524
2.8359e-06 8343
2.8294e-06 8066
2.8230e-06 7789
2.8166e-06 7745
2.8102e-06 7606
2.8038e-06 7354
2.7975e-06 7246
2.7912e-06 7168
2.7850e-06 7015
2.7787e-06 6727
2.7725e-06 6690
2.7663e-06 6533
2.7602e-06 6373
2.7541e-06 6121
2.7480e-06 5830
2.7419e-06 5640
2.7358e-06 5523
2.7298e-06 5333
2.7238e-06 5117
2.7179e-06 4863
2.7119e-06 4719
2.7060e-06 4441
2.7001e-06 4128
2.6942e-06 3997
2.6884e-06 3793
2.6826e-06 3638
2.6768e-06 3529
2.6710e-06 3297
2.6653e-06 3284
2.6596e-06 3090
2.6539e-06 2907
2.6482e-06 2817
2.6426e-06 2861
2.6370e-06 2732
2.6314e-06 2700
2.6258e-06 2585
2.6203e-06 2516
2.6148e-06 2475
2.6093e-06 2431
2.6038e-06 2412
2.5983e-06 2369
2.5929e-06 2279
2.5875e-06 2199
2.5821e-06 2208
2.5767e-06 2156
2.5714e-06 2105
2.5661e-06 2061
2.5608e-06 1935
2.5555e-06 1985
2.5503e-06 1887
2.5450e-06 1786
2.5398e-06 1810
2.5346e-06 1660
2.5295e-06 1578
2.5243e-06 1584
2.5192e-06 1471
2.5141e-06 1372
2.5090e-06 1427
2.5039e-06 1324
2.4989e-06 1283
2.4939e-06 1241
2.4889e-06 1183
2.4839e-06 1205
2.4789e-06 1155
2.4740e-06 1054
2.4691e-06 1089
2.4642e-06 1059
2.4593e-06 1001
2.4544e-06 966
2.4496e-06 929
2.4447e-06 910
2.4399e-06 919
2.4351e-06 863
2.4304e-06 865
2.4256e-06 825
2.4209e-06 771
2.4162e-06 773
2.4115e-06 769
2.4068e-06 764
2.4021e-06 735
2.3975e-06 743
2.3929e-06 637
2.3883e-06 629
2.3837e-06 629
2.3791e-06 606
2.3745e-06 596
2.3700e-06 600
2.3655e-06 552
2.3610e-06 540
2.3565e-06 548
2.3520e-06 460
2.3476e-06 461
2.3432e-06 473
2.3387e-06 496
2.3343e-06 418
2.3300e-06 409
2.3256e-06 413
2.3212e-06 359
2.3169e-06 390
2.3126e-06 357
2.3083e-06 337
2.3040e-06 357
2.2997e-06 334
2.2955e-06 333
2.2913e-06 306
2.2870e-06 330
2.2828e-06 326
2.2786e-06 243
2.2744e-06 271
2.2703e-06 288
2.2661e-06 269
2.2620e-06 252
2.2579e-06 252
2.2538e-06 203
2.2497e-06 228
2.2456e-06 207
2.2416e-06 245
2.2375e-06 223
2.2335e-06 231
2.2295e-06 217
2.2255e-06 231
2.2215e-06 218
2.2175e-06 169
2.2136e-06 164
2.2096e-06 183
2.2057e-06 172
2.2018e-06 156
2.1979e-06 157
2.1940e-06 161
2.1901e-06 164
2.1863e-06 170
2.1824e-06 171
2.1786e-06 171
2.1748e-06 150
2.1710e-06 167
2.1672e-06 131
2.1634e-06 121
2.1596e-06 118
2.1559e-06 110
2.1521e-06 112
2.1484e-06 138
2.1447e-06 125
2.1410e-06 141
2.1373e-06 124
2.1336e-06 120
2.1300e-06 116
2.1263e-06 118
2.1227e-06 120
2.1190e-06 112
2.1154e-06 125
2.1118e-06 109
2.1082e-06 131
2.1047e-06 119
2.1011e-06 106
2.0975e-06 134
2.0940e-06 110
2.0905e-06 126
2.0870e-06 119
2.0835e-06 118
2.0800e-06 128
2.0765e-06 106
2.0730e-06 110
2.0696e-06 125
